Url,Tên,Mô tả,Hãng,Loại sản phẩm,Tag,Hiển thị,Thuộc tính 1,Giá trị thuộc tính 1,Thuộc tính 2,Giá trị thuộc tính 2,Thuộc tính 3,Giá trị thuộc tính 3,Mã phiên bản sản phẩm,Khối lượng,Quản lý tồn kho,Số lượng tồn kho,Đặt hàng khi hết hàng,Variant Fulfillment Service,Giá,Giá so sánh,Có giao hàng không?,Variant Taxable,Barcode,Link hình,Mô tả hình,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Danh mục,Danh mục EN,Ảnh biến thể,Ngày tạo,Ngày cập nhật,Hiển thị kênh bán hàng Lazada,Hiển thị kênh bán hàng Zalo,Hiển thị kênh bán hàng Zalora,Hiển thị kênh bán hàng Sendo,Hiển thị kênh bán hàng Adayroi
bao-hanh-ricky-mien-bac,TRẢ BẢO HÀNH,"<p><span style=""font-size: 15pt;"" data-mce-style=""font-size: 15pt;"">- Chính sách bảo hành CHÍNH HÃNG -&nbsp;ỦY QUYỀN : 2 năm 1&nbsp;đổi 1</span></p>",Khác,Khác,,No,Tiêu đề,Default Title,,,,,TBH,0,,0,deny,,0,0,Yes,Yes,,http://product.hstatic.net/1000126777/product/tai_xuong.jpg,,No,BẢO HÀNH RICKY MIỀN BẮC,Trung tâm bảo hành cty RICKY Việt Nam | Chính sách bảo hành CHÍNH HÃNG - ỦY QUYỀN 2 năm 1 đổi 1,,,,,,,,,,,,09-04-2017 16:11:12,05-06-2017 10:56:35,No,No,No,No,No
bao-hanh-ricky-mien-nam,BẢO HÀNH RICKY | MIỀN NAM,"<p><span style=""font-size: 15pt;"" data-mce-style=""font-size: 15pt;"">- Chính sách bảo hành CHÍNH HÃNG -&nbsp;ỦY QUYỀN : 2 năm 1&nbsp;đổi 1</span></p>",Khác,Khác,,No,Tiêu đề,Default Title,,,,,,0,,0,deny,,0,0,Yes,Yes,,http://product.hstatic.net/1000126777/product/tai_xuong_b24a69d4a6574593ab2e47699cece892.jpg,,No,BẢO HÀNH RICKY | MIỀN NAM,Trung tâm bảo hành cty RICKY Việt Nam | Chính sách bảo hành CHÍNH HÃNG - ỦY QUYỀN 2 năm 1 đổi 1,,,,,,,,,,,,09-04-2017 16:25:45,05-06-2017 10:54:09,No,No,No,No,No
bo-cai-hat-live-k10-pro,Bộ cài hát LIVE  DELTA PRO,,Khác,Khác,,No,Tiêu đề,Default Title,,,,,DT-K10Pro,0,,0,deny,,500000,0,Yes,Yes,,,,No,Bộ cài hát LIVE K10 - Pro,,,,,,,,,,,,,18-06-2017 13:50:11,09-08-2017 16:09:41,No,No,No,No,No
cap-3-5-av-chinh-hang,Cáp 3.5-AV chính hãng,"<p><span style=""font-weight: 400; font-size: 12pt;"" data-mce-style=""font-weight: 400; font-size: 12pt;"">####</span></p><p><span style=""font-weight: 400; font-size: 12pt; color: rgb(0, 0, 0);"" data-mce-style=""font-weight: 400; font-size: 12pt; color: #000000;"">+) Chiều dài : 1,5m | Chính hãng chất lượng tiêu chuẩn A | BH: 12 tháng</span></p><ul><li><span style=""color: rgb(0, 0, 0);"" data-mce-style=""color: #000000;""><span style=""font-size: 12pt;"" data-mce-style=""font-size: 12pt;"">Cáp 3.5 ra AV là cáp chuyên dụng cho những mục đích như kết nối đầu CD, Điện thoại di động, máy tính bảng với Âm-ly để truyền tải âm thanh.</span><span style=""font-size: 12pt;"" data-mce-style=""font-size: 12pt;""></span><span style=""font-size: 12pt;"" data-mce-style=""font-size: 12pt;""></span></span></li></ul><p><img src=""//file.hstatic.net/1000126777/file/22_grande.jpg"" data-mce-src=""//file.hstatic.net/1000126777/file/22_grande.jpg"" width=""690"" height=""306""></p><ul><li><span style=""font-size: 12pt; color: rgb(0, 0, 0);"" data-mce-style=""font-size: 12pt; color: #000000;"">Trong Studio hay âm thanh Homestudio chúng ta thường sử dụng cáp này để kết nối các dòng <a href=""http://ricky.vn/collections/soundcard-hat-live"" data-mce-href=""http://ricky.vn/collections/soundcard-hat-live"" style=""color: rgb(0, 0, 0);"" data-mce-style=""color: #000000;"">soundcard hát Live</a>, karaoke với loa ngoài.</span></li></ul><p><span style=""font-weight: 400; font-size: 12pt;"" data-mce-style=""font-weight: 400; font-size: 12pt;"">####</span></p><p><span style=""color: #008080; font-size: 15pt;"" data-mce-style=""color: #008080; font-size: 15pt;""><strong>+) KHÁCH HÀNG NỘI THÀNH:</strong></span></p><p><span style=""font-weight: 400; font-size: 12pt;"" data-mce-style=""font-weight: 400; font-size: 12pt;"">&nbsp;&nbsp;&gt;&gt; Qúy khách có thể mua hàng theo 2 cách :</span></p><ul><li style=""font-weight: 400;"" data-mce-style=""font-weight: 400;""><span style=""font-weight: 400; font-size: 12pt;"" data-mce-style=""font-weight: 400; font-size: 12pt;"">Đến trực tiếp cửa hàng của RICKY tại địa chỉ : 203 Đường Bờ Sông - Gần cầu Khỉ - Hoàng Mai - Hà Nội.</span></li><li style=""font-weight: 400;"" data-mce-style=""font-weight: 400;""><span style=""font-weight: 400; font-size: 12pt;"" data-mce-style=""font-weight: 400; font-size: 12pt;"">Nhận hàng tại nhà ! Đặt hàng nhanh qua WEB RICKY.VN !</span></li><li style=""font-weight: 400;"" data-mce-style=""font-weight: 400;""><span style=""font-weight: 400; font-size: 12pt;"" data-mce-style=""font-weight: 400; font-size: 12pt;"">Hotline đặt hàng : 097.147.7007 - 04.22121.999</span><span style=""font-weight: 400; font-size: 12pt;"" data-mce-style=""font-weight: 400; font-size: 12pt;""></span></li></ul><p><span style=""font-weight: 400; font-size: 15pt;"" data-mce-style=""font-weight: 400; font-size: 15pt;""><strong><span style=""color: #008080;"" data-mce-style=""color: #008080;"">+) KHÁCH HÀNG NGOẠI THÀNH:</span></strong></span></p><ul><li style=""font-weight: 400;"" data-mce-style=""font-weight: 400;""><span style=""font-weight: 400; font-size: 15pt;"" data-mce-style=""font-weight: 400; font-size: 15pt;"">Khách hàng ở xa hoàn toàn có thể nhận hàng tại nhà, thanh toán tiền hàng trực tiếp cho nhân viên giao hàng.</span></li><li style=""font-weight: 400;"" data-mce-style=""font-weight: 400;""><span style=""font-weight: 400; font-size: 15pt;"" data-mce-style=""font-weight: 400; font-size: 15pt;"">Thời gian giao hàng thông thường từ 1-3 ngày làm việc.</span></li><li style=""font-weight: 400;"" data-mce-style=""font-weight: 400;""><span style=""font-weight: 400; font-size: 15pt;"" data-mce-style=""font-weight: 400; font-size: 15pt;"">RICKY MIỀN NAM địa chỉ tại&nbsp;: 704-Sông Mây-Trảng Bom-Đồng Nai( cho những khách hàng ở khu vực này )</span></li><li style=""font-weight: 400;"" data-mce-style=""font-weight: 400;""><span style=""font-weight: 400; font-size: 15pt;"" data-mce-style=""font-weight: 400; font-size: 15pt;"">Hotline đặt hàng : 097.147.7007 - 04.22121.999</span></li></ul><p><span style=""font-weight: 400; font-size: 12pt;"" data-mce-style=""font-weight: 400; font-size: 12pt;"">####</span></p><p><span style=""font-weight: 400; font-size: 12pt;"" data-mce-style=""font-weight: 400; font-size: 12pt;"">+) Mọi sản phẩm được đổi trả miễn phí trong vòng 7 ngày đầu với bất cứ lỗi nào của nhà sản xuất.</span></p><p><span style=""font-weight: 400; font-size: 12pt;"" data-mce-style=""font-weight: 400; font-size: 12pt;"">+) Đổi mới sang sản phẩm mới MIỄN PHÍ ( sản phẩm mới có giá trị lớn hơn hoặc tương tương sản phẩm đã mua ) trong thời gian 1-3 ngày đầu kể từ ngày mua hàng.</span></p><p><span style=""font-weight: 400; font-size: 12pt;"" data-mce-style=""font-weight: 400; font-size: 12pt;"">+) Mọi chi tiết liên hệ :&nbsp;<span>097.147.7007 - 04.22121.999</span></span></p><p><span style=""font-size: 12pt;"" data-mce-style=""font-size: 12pt;"">####</span></p><p><span style=""color: #008080; font-size: 15pt;"" data-mce-style=""color: #008080; font-size: 15pt;"" mce-data-marked=""1""><strong>PHỤ KIỆN CHÍNH HÃNG</strong></span></p><p><span style=""font-size: 12pt;"" data-mce-style=""font-size: 12pt;""></span><span style=""color: #003366;"" data-mce-style=""color: #003366;""><strong><span style=""font-size: 15pt;"" data-mce-style=""font-size: 15pt;""></span></strong></span><span style=""font-size: 12pt;"" data-mce-style=""font-size: 12pt;""><span style=""color: #008080;"" data-mce-style=""color: #008080;""><span style=""color: #000000;"" data-mce-style=""color: #000000;""><span style=""color: #008080;"" data-mce-style=""color: #008080;""><strong>RICKY MIỀN BẮC</strong></span>&nbsp;:</span></span></span></p><p><span style=""font-size: 12pt;"" data-mce-style=""font-size: 12pt;""><span style=""color: #008080;"" data-mce-style=""color: #008080;""><span style=""color: #000000;"" data-mce-style=""color: #000000;"">Add: 203-Bờ Sông Mới-Hoàng Mai-Hà Nội</span></span></span></p><p><span style=""font-size: 12pt;"" data-mce-style=""font-size: 12pt;""><span style=""color: #008080;"" data-mce-style=""color: #008080;""><span style=""color: #000000;"" data-mce-style=""color: #000000;""><strong>﻿<span style=""color: #008080;"" data-mce-style=""color: #008080;"">RICKY&nbsp;MIỀN NAM</span></strong>:</span></span></span></p><p><span style=""font-size: 12pt;"" data-mce-style=""font-size: 12pt;""><span style=""color: #008080;"" data-mce-style=""color: #008080;""><span style=""color: #000000;"" data-mce-style=""color: #000000;"">Add: 704-Sông Mây-Trảng Bom-Đồng Nai</span></span></span></p><p><span style=""font-size: 12pt;"" data-mce-style=""font-size: 12pt;""><span style=""color: #008080;"" data-mce-style=""color: #008080;""><span style=""color: #000000;"" data-mce-style=""color: #000000;"">Hotline: 04.22121.999 - 097.147.7007</span></span></span></p><p><span style=""font-weight: 400; font-size: 12pt;"" data-mce-style=""font-weight: 400; font-size: 12pt;"">####</span></p><p><span style=""color: #008080; font-size: 12pt;"" data-mce-style=""color: #008080; font-size: 12pt;""><strong>CAM KẾT:</strong></span></p><p><span style=""font-size: 12pt;"" data-mce-style=""font-size: 12pt;""><span style=""color: #000000;"" data-mce-style=""color: #000000;"">NÓI</span>&nbsp;<span style=""color: #ff0000;"" data-mce-style=""color: #ff0000;""><strong>KHÔNG</strong></span>&nbsp;<span style=""color: #000000;"" data-mce-style=""color: #000000;"">VỚI<strong>&nbsp;HÀNG FAKE</strong>, XÁCH TAY, <strong>BẢO HÀNH ""MIỆNG""</strong>,&nbsp;BỞI <strong>CÁ NHÂN, LÁI BUÔN.</strong></span></span></p>",R-PRO,Phụ kiện,,Yes,Tiêu đề,Cáp 3.5-AV chính hãng,,,,,PK-3.5AV,100,,0,deny,,55000,0,Yes,Yes,,http://product.hstatic.net/1000126777/product/1_158b9edfddf04f6dae179c8af1036fe8.jpg,Cáp 3.5-AV chính hãng,No,"Cáp 3.5-AV chính hãng - Kết nối điện thoại, soundcard với âm ly","Cáp 3.5 ra AV là cáp chuyên dụng cho những mục đích như kết nối đầu CD, Điện thoại di động, máy tính bảng với Âm-ly để truyền tải âm thanh trong studio",,,,,,,,,,,,13-02-2017 18:14:25,19-09-2017 17:18:51,No,No,No,No,No
cap-3-5-av-chinh-hang,,,,,,Yes,Tiêu đề,,,,,,,,,0,,,,,No,No,,http://product.hstatic.net/1000126777/product/1_ef1c1371b526436f9a513657a5181c8e.png,Cáp 3.5-AV chính hãng,No,,,,,,,,,,,,,,,,,,,,
cap-3-5-av-chinh-hang,,,,,,Yes,Tiêu đề,,,,,,,,,0,,,,,No,No,,http://product.hstatic.net/1000126777/product/2_2a8e59e9a7fa4fcd90ef3949920840f2.jpg,Cáp 3.5-AV chính hãng,No,,,,,,,,,,,,,,,,,,,,
cap-3-5-av-chinh-hang,,,,,,Yes,Tiêu đề,,,,,,,,,0,,,,,No,No,,http://product.hstatic.net/1000126777/product/3_4382edc4586f4dadb2e1c2b7ea705a8e.jpg,Cáp 3.5-AV chính hãng,No,,,,,,,,,,,,,,,,,,,,
cap-6-3-6-3-v1,Dây cáp 6.3-6.3 V1,"<p><br data-mce-bogus=""1""></p>",Khác,Phụ kiện,,No,Tiêu đề,Default Title,,,,,PK-C6.3-6.3V1,150,,0,deny,,150000,0,Yes,Yes,,,,No,Dây cáp 6.3-6.3 V1,Dây cáp chuyển đổi 6.3mm - 6.3mm,,,,,,,,,,,,29-06-2017 19:55:56,19-09-2017 19:02:02,No,No,No,No,No
cap-c21,Cáp C21,"<table class=""mce-item-table"" style=""width: 700px;"" data-mce-style=""width: 700px;""><tbody><tr style=""height: 97px;"" data-mce-style=""height: 97px;""><td style=""width: 128px; height: 97px;"" data-mce-style=""width: 128px; height: 97px;""><p><img src=""//file.hstatic.net/1000126777/file/1_2a335f6c60bc4721aa7e0ff3234a5fe5_89357b3ff6c6465b80c297a07c4b08ea_grande.png"" data-mce-src=""//file.hstatic.net/1000126777/file/1_2a335f6c60bc4721aa7e0ff3234a5fe5_89357b3ff6c6465b80c297a07c4b08ea_grande.png"" width=""154"" height=""97""></p></td><td style=""width: 10px; height: 97px;"" data-mce-style=""width: 10px; height: 97px;""><br></td><td style=""width: 133px; height: 97px;"" data-mce-style=""width: 133px; height: 97px;""><img src=""https://file.hstatic.net/1000126777/file/1_2a335f6c60bc4721aa7e0ff3234a5fe5_89357b3ff6c6465b80c297a07c4b08ea_grande.png"" data-mce-src=""//file.hstatic.net/1000126777/file/1_2a335f6c60bc4721aa7e0ff3234a5fe5_89357b3ff6c6465b80c297a07c4b08ea_grande.png"" width=""154"" height=""97""></td><td style=""width: 12px; height: 97px;"" data-mce-style=""width: 12px; height: 97px;""><br></td><td style=""width: 118px; height: 97px;"" data-mce-style=""width: 118px; height: 97px;""><img src=""https://file.hstatic.net/1000126777/file/1_2a335f6c60bc4721aa7e0ff3234a5fe5_89357b3ff6c6465b80c297a07c4b08ea_grande.png"" data-mce-src=""//file.hstatic.net/1000126777/file/1_2a335f6c60bc4721aa7e0ff3234a5fe5_89357b3ff6c6465b80c297a07c4b08ea_grande.png"" width=""154"" height=""97""></td><td style=""width: 12px; height: 97px;"" data-mce-style=""width: 12px; height: 97px;""><br></td><td style=""width: 118px; height: 97px;"" data-mce-style=""width: 118px; height: 97px;""><img src=""https://file.hstatic.net/1000126777/file/1_2a335f6c60bc4721aa7e0ff3234a5fe5_89357b3ff6c6465b80c297a07c4b08ea_grande.png"" data-mce-src=""//file.hstatic.net/1000126777/file/1_2a335f6c60bc4721aa7e0ff3234a5fe5_89357b3ff6c6465b80c297a07c4b08ea_grande.png"" width=""154"" height=""97""></td></tr></tbody></table><p><br data-mce-bogus=""1""></p><p><br data-mce-bogus=""1""></p><p>THÔNG SỐ SẢN PHẨM:</p><p><br data-mce-bogus=""1""></p><p>1) dgsd gsdgsdgsdgsdgsdg</p>",Khác,Khác,,No,Tiêu đề,Default Title,,,,,PK-C21,0,,0,deny,,65000,0,Yes,Yes,,,,No,Cáp C21,THÔNG SỐ SẢN PHẨM:1) dgsd gsdgsdgsdgsdgsdg,,,,,,,,,,,,07-11-2016 14:32:26,25-08-2017 20:12:00,No,No,No,No,No
cap-chia-tai-nghe,Cáp chia tai nghe,"<p><span style=""font-weight: 400; font-size: 12pt;"" data-mce-style=""font-weight: 400; font-size: 12pt;""></span><span style=""font-weight: 400; font-size: 12pt;"" data-mce-style=""font-weight: 400; font-size: 12pt;""></span><br></p><p><span style=""color: #008080; font-size: 15pt;"" data-mce-style=""color: #008080; font-size: 15pt;""><strong>+) KHÁCH HÀNG NỘI THÀNH:</strong></span></p><p><span style=""font-weight: 400; font-size: 12pt;"" data-mce-style=""font-weight: 400; font-size: 12pt;"">&nbsp;&nbsp;&gt;&gt; Qúy khách có thể mua hàng theo 2 cách :</span></p><ul><li style=""font-weight: 400;"" data-mce-style=""font-weight: 400;""><span style=""font-weight: 400; font-size: 12pt;"" data-mce-style=""font-weight: 400; font-size: 12pt;"">Đến trực tiếp cửa hàng của RICKY tại địa chỉ : 203 Đường Bờ Sông - Gần cầu Khỉ - Hoàng Mai - Hà Nội.</span></li><li style=""font-weight: 400;"" data-mce-style=""font-weight: 400;""><span style=""font-weight: 400; font-size: 12pt;"" data-mce-style=""font-weight: 400; font-size: 12pt;"">Nhận hàng tại nhà ! Đặt hàng nhanh qua WEB RICKY.VN !</span></li><li style=""font-weight: 400;"" data-mce-style=""font-weight: 400;""><span style=""font-weight: 400; font-size: 12pt;"" data-mce-style=""font-weight: 400; font-size: 12pt;"">Hotline đặt hàng : 097.147.7007 - 04.22121.999</span><span style=""font-weight: 400; font-size: 12pt;"" data-mce-style=""font-weight: 400; font-size: 12pt;""></span></li></ul><p><span style=""font-weight: 400; font-size: 15pt;"" data-mce-style=""font-weight: 400; font-size: 15pt;""><strong><span style=""color: #008080;"" data-mce-style=""color: #008080;"">+) KHÁCH HÀNG NGOẠI THÀNH:</span></strong></span></p><ul><li style=""font-weight: 400;"" data-mce-style=""font-weight: 400;""><span style=""font-weight: 400; font-size: 15pt;"" data-mce-style=""font-weight: 400; font-size: 15pt;"">Khách hàng ở xa hoàn toàn có thể nhận hàng tại nhà, thanh toán tiền hàng trực tiếp cho nhân viên giao hàng.</span></li><li style=""font-weight: 400;"" data-mce-style=""font-weight: 400;""><span style=""font-weight: 400; font-size: 15pt;"" data-mce-style=""font-weight: 400; font-size: 15pt;"">Thời gian giao hàng thông thường từ 1-3 ngày làm việc.</span></li><li style=""font-weight: 400;"" data-mce-style=""font-weight: 400;""><span style=""font-weight: 400; font-size: 15pt;"" data-mce-style=""font-weight: 400; font-size: 15pt;"">RICKY MIỀN NAM địa chỉ tại&nbsp;: 704-Sông Mây-Trảng Bom-Đồng Nai( cho những khách hàng ở khu vực này )</span></li><li style=""font-weight: 400;"" data-mce-style=""font-weight: 400;""><span style=""font-weight: 400; font-size: 15pt;"" data-mce-style=""font-weight: 400; font-size: 15pt;"">Hotline đặt hàng : 097.147.7007 - 04.22121.999</span></li></ul><p><span style=""font-weight: 400; font-size: 12pt;"" data-mce-style=""font-weight: 400; font-size: 12pt;"">####</span></p><p><span style=""font-weight: 400; font-size: 12pt;"" data-mce-style=""font-weight: 400; font-size: 12pt;"">+) Mọi sản phẩm được đổi trả miễn phí trong vòng 7 ngày đầu với bất cứ lỗi nào của nhà sản xuất.</span></p><p><span style=""font-weight: 400; font-size: 12pt;"" data-mce-style=""font-weight: 400; font-size: 12pt;"">+) Đổi mới sang sản phẩm mới MIỄN PHÍ ( sản phẩm mới có giá trị lớn hơn hoặc tương tương sản phẩm đã mua ) trong thời gian 1-3 ngày đầu kể từ ngày mua hàng.</span></p><p><span style=""font-weight: 400; font-size: 12pt;"" data-mce-style=""font-weight: 400; font-size: 12pt;"">+) Mọi chi tiết liên hệ :&nbsp;<span>097.147.7007 - 04.22121.999</span></span></p><p><span style=""font-size: 12pt;"" data-mce-style=""font-size: 12pt;"">####</span></p><p><span style=""color: #008080; font-size: 15pt;"" data-mce-style=""color: #008080; font-size: 15pt;""><strong>BẢO HÀNH:</strong></span></p><p><span style=""font-size: 12pt;"" data-mce-style=""font-size: 12pt;""></span><span style=""color: #003366;"" data-mce-style=""color: #003366;""><strong><span style=""font-size: 15pt;"" data-mce-style=""font-size: 15pt;"">3 tháng</span></strong></span><span>&nbsp;</span><span style=""color: #008080; font-size: 15pt;"" data-mce-style=""color: #008080; font-size: 15pt;""><strong>1 đổi 1 <span style=""color: #ff0000;"" data-mce-style=""color: #ff0000;"">CHÍNH HÃNG</span></strong></span><br></p><p><span style=""font-size: 12pt;"" data-mce-style=""font-size: 12pt;""><span style=""color: #008080;"" data-mce-style=""color: #008080;""><span style=""color: #000000;"" data-mce-style=""color: #000000;""><span style=""color: #008080;"" data-mce-style=""color: #008080;""><strong>RICKY MIỀN BẮC</strong></span>&nbsp;:</span></span></span></p><p><span style=""font-size: 12pt;"" data-mce-style=""font-size: 12pt;""><span style=""color: #008080;"" data-mce-style=""color: #008080;""><span style=""color: #000000;"" data-mce-style=""color: #000000;"">Add: 203-Bờ Sông Mới-Hoàng Mai-Hà Nội</span></span></span></p><p><span style=""font-size: 12pt;"" data-mce-style=""font-size: 12pt;""><span style=""color: #008080;"" data-mce-style=""color: #008080;""><span style=""color: #000000;"" data-mce-style=""color: #000000;""><strong><span style=""color: #008080;"" data-mce-style=""color: #008080;"">RICKY&nbsp;MIỀN NAM</span></strong>:</span></span></span></p><p><span style=""font-size: 12pt;"" data-mce-style=""font-size: 12pt;""><span style=""color: #008080;"" data-mce-style=""color: #008080;""><span style=""color: #000000;"" data-mce-style=""color: #000000;"">Add: 704-Sông Mây-Trảng Bom-Đồng Nai</span></span></span></p><p><span style=""font-size: 12pt;"" data-mce-style=""font-size: 12pt;""><span style=""color: #008080;"" data-mce-style=""color: #008080;""><span style=""color: #000000;"" data-mce-style=""color: #000000;"">Hotline: 04.22121.999 - 097.147.7007</span></span></span></p><p><span style=""font-weight: 400; font-size: 12pt;"" data-mce-style=""font-weight: 400; font-size: 12pt;"">####</span></p><p><span style=""color: #008080; font-size: 12pt;"" data-mce-style=""color: #008080; font-size: 12pt;""><strong>CAM KẾT:</strong></span></p><p><span style=""font-size: 12pt;"" data-mce-style=""font-size: 12pt;""><span style=""color: #000000;"" data-mce-style=""color: #000000;"">NÓI</span>&nbsp;<span style=""color: #ff0000;"" data-mce-style=""color: #ff0000;""><strong>KHÔNG</strong></span>&nbsp;<span style=""color: #000000;"" data-mce-style=""color: #000000;"">VỚI<strong>&nbsp;HÀNG FAKE</strong>, XÁCH TAY, <strong>BẢO HÀNH ""MIỆNG""</strong>,&nbsp;BỞI <strong>CÁ NHÂN, LÁI BUÔN.</strong></span></span></p>",R-PRO,Phụ kiện,,No,Tiêu đề,PK-CAPCTN,,,,,PK-CAPCTN,70,,0,deny,,50000,0,Yes,Yes,,,,No,Cáp chia tai nghe,Sử dụng để chia cổng tai nghe trên Soundcard,,,,,,,,,,,,05-09-2017 17:55:40,19-09-2017 19:05:53,No,No,No,No,No
cap-live-den-loai-cao-cap,Cáp kết nối Smartphone V30,"<p><br data-mce-bogus=""1""></p>",Khác,Khác,,No,Tiêu đề,Default Title,,,,,PK-CAPV30,0,,0,deny,,250000,0,Yes,Yes,,,,No,Cáp Live ĐEN - Loại cao cấp,,,,,,,,,,,,,29-03-2017 19:03:44,19-09-2017 17:48:11,No,No,No,No,No
